STABBR,institution_count,avg_tuition,avg_grad_rate,avg_earnings,avg_roi
MP,1,4779.0,0.4216,27836.0,5.824649508265328
AS,1,5610.0,0.4774,30087.0,5.363101604278075
ND,14,11420.142857142857,0.48262857142857146,47224.07142857143,5.343959374716017
WA,56,17931.0625,0.46333035714285714,52789.96428571428,5.2566704999528175
FM,1,5050.0,0.2947,24651.0,4.881386138613862
WY,5,9181.2,0.41734,42790.8,4.820172848984903
UT,15,15766.633333333333,0.5322533333333334,56462.26666666667,4.804858830499709
GU,3,6659.666666666667,0.3817,28222.666666666668,4.645025623631962
AZ,23,17543.58695652174,0.35459999999999997,48660.30434782609,4.542557826171258
KS,29,25052.431034482757,0.4736758620689655,50672.75862068965,4.348770462268062
PR,55,6804.3,0.43047090909090907,26256.545454545456,4.212743357337322
SD,14,15763.142857142857,0.4620714285714285,46606.857142857145,4.185072025806695
ID,9,18430.333333333332,0.5201777777777777,47287.88888888889,4.062915930813109
DE,5,15469.7,0.43664000000000003,55488.2,3.9201346864082884
TX,106,20327.825471698114,0.43774433962264153,49955.42452830189,3.864656325891425
HI,8,17405.5,0.480625,49566.375,3.7909456341053667
NV,11,14412.227272727272,0.37333636363636363,48836.36363636364,3.7907428572621016
MT,13,16689.5,0.42183846153846155,42999.846153846156,3.7765687858612367
AK,6,14841.916666666666,0.38666666666666666,46421.333333333336,3.6911444133754117
NM,11,14217.40909090909,0.38627272727272727,42116.818181818184,3.6719314924925555
VI,1,10566.5,0.2857,38681.0,3.66072020063408
FL,100,18830.385,0.48631399999999997,46996.46,3.6046950876753674
NE,20,22704.35,0.551385,54430.7,3.4495008671520146
MS,16,15600.34375,0.492375,41712.0,3.2936862756080303
CO,30,21153.2,0.44468,51831.63333333333,3.209272197990642
CA,135,29326.644444444446,0.5868748148148148,63185.414814814816,3.206234975476259
GA,61,19635.72950819672,0.4007131147540984,46679.95081967213,3.194087409315464
OK,27,18708.74074074074,0.3841703703703704,47356.62962962963,3.1595721087000848
NY,148,31076.902027027027,0.5977135135135135,57835.89864864865,3.096569690787247
WV,22,17417.68181818182,0.44667727272727276,45060.954545454544,3.093692927449583
OH,108,23978.96759259259,0.46840185185185185,50996.46296296296,3.0550087082196047
AR,23,17864.260869565216,0.45926086956521744,45061.782608695656,2.9790919811832453
MO,56,22043.598214285714,0.5304857142857143,51148.08928571428,2.9081130700393927
LA,25,20213.48,0.460264,46953.52,2.8891762806309
AL,28,18588.14285714286,0.48912142857142854,46629.03571428572,2.8400342816356567
MN,42,28824.285714285714,0.6256428571428572,55983.357142857145,2.771756465539242
WI,41,25814.01219512195,0.5637219512195122,52823.95121951219,2.751944084060577
MD,27,30648.90740740741,0.5572666666666667,61884.03703703704,2.669309197451753
MI,48,26514.697916666668,0.5411374999999999,53271.0,2.6435165210123546
NC,62,25859.774193548386,0.48625322580645164,48977.33870967742,2.519643733258212
DC,11,33123.818181818184,0.5412909090909092,60394.454545454544,2.508525845620386
NJ,39,28439.4358974359,0.5260205128205129,61000.46153846154,2.4819873904706933
NH,14,30597.928571428572,0.5700999999999999,58269.5,2.4071697922064277
VA,53,27464.556603773584,0.5898641509433962,54512.35849056604,2.336484383570084
TN,44,24905.590909090908,0.5090454545454546,48861.454545454544,2.3140018704608667
IN,48,29807.791666666668,0.5900291666666667,54963.416666666664,2.2783072786225023
ME,18,31800.666666666668,0.6054499999999999,55656.77777777778,2.273305909810165
IL,62,30863.290322580644,0.5678661290322581,56167.95161290323,2.2288768957422187
KY,31,24988.16129032258,0.48471290322580646,45489.77419354839,2.1962448909180985
SC,37,23965.432432432433,0.46156216216216217,46159.0,2.150291905226778
OR,24,33135.8125,0.557475,56069.333333333336,2.112165979520727
PA,123,34530.028455284555,0.5651772357723578,60277.439024390245,2.0731830622036385
CT,24,38721.25,0.6403791666666666,66655.29166666667,2.0153236222669464
MA,70,41992.95714285714,0.6586585714285714,66772.02857142857,1.9394196873085243
IA,32,33452.640625,0.58409375,54048.46875,1.854639947651164
RI,11,42259.954545454544,0.6581545454545454,67591.90909090909,1.8394531155349056
VT,10,44752.6,0.62404,49861.8,1.3168515444089057
